id;type;friendly_name;is_default;created_by;created_date;last_modified_by;last_modified_date;user_id;address_id
337e19f9-730e-415c-b015-bc7c444cda77;BILLING;cheerful eleventh;false;stress gadzooks continually;2024-07-04T02:42:48;as remark or;2024-07-03T13:03:44;1;20fc6800-bc34-4096-994f-90156f2d5e63
a21aade9-8463-4423-a8e3-35031fd5b018;HOME;yellowish;false;knottily considering;2024-07-04T00:45:20;blah;2024-07-04T06:22:38;2;2a11e6b7-e19a-4355-bb20-75cbd35d5914
885ca532-412f-40df-9a17-c7c3fff0a79a;HOME;around alert pince-nez;true;woo;2024-07-04T07:00:36;following yowza;2024-07-04T02:39:28;1;553fe9ca-92d8-4b3b-8956-7dadc2c2ea17
ed1a2138-cff9-4b6a-968a-e75a1e55c5a4;OTHER;concur copy reliable;true;vice;2024-07-03T20:06:52;boohoo;2024-07-04T04:38:58;2;aecfb01f-efd9-4f39-a6e2-0019a130f76c
70a0dcfc-c730-4049-80cc-87b88ccec166;SHIPPING;dolman murmurings;false;by;2024-07-03T19:54:09;vaguely seemingly;2024-07-03T21:24:23;1;d8a5b9f5-734f-4440-a8fc-4e47d265e7a4
4405cce2-df8d-4491-9236-b2f7e1d27d9f;WORK;colonise;true;finally;2024-07-04T00:57:34;or wrongly;2024-07-03T13:34:26;1;6c602206-74e3-42f6-9ede-31a33950a9c5
b245a23a-4a26-489c-b189-407929708409;OTHER;whereas;true;provided;2024-07-03T22:07:37;stool easily participation;2024-07-04T05:40:11;1;e34e64a1-712b-49fd-b7a2-74b566e01ac3
291e10bd-9463-4596-9bf1-fa1110194ff6;HOME;an compliance mmm;true;skin detailed cartoon;2024-07-04T02:50:40;or;2024-07-03T20:13:33;1;81cbcbee-c86c-4446-9eb5-28abcacc2e7e
b6e84334-e253-468e-845a-e33a3920afe3;SHIPPING;subcontractor although;false;or;2024-07-03T23:46:32;duh;2024-07-03T12:24:17;1;bcea0ff9-d333-48b9-afad-1ac5effdeb4b
498c8076-7d12-4afd-abf2-69f1a4b5488d;WORK;gosh opposite;false;nutrient energise;2024-07-04T10:32:08;heap;2024-07-03T15:13:16;1;c062882d-0073-4c23-8c1d-8236da629394
