id;type;shipment_date;delivery_date;note;created_by;created_date;last_modified_by;last_modified_date;status_id;order_id;invoice_id
d0eddb11-0108-45db-9170-414fbc0ea32c;TRANSFER;2024-08-20T09:53:03;2024-08-20T12:41:31;turbulent greedily the;converse;2024-08-20T19:31:03;eek;2024-08-21T02:03:04;1;ca49b61c-6d77-472d-8cc6-690bfff04cb1;1844538c-133b-4814-b96a-396b595d9ddd
b7433466-a0a8-4ddc-abb4-fb446ba67e9f;OUTBOUND;2024-08-20T17:43:43;2024-08-20T19:08:27;whimsical app poorly;reform;2024-08-21T07:15:46;distorted;2024-08-20T10:43:14;2;2c0a7379-434f-4c7e-903a-da8bf26185a7;8f0f3914-d39e-4b04-98e4-f827534bda0a
55e97f6b-4fde-4743-91fa-e03aea2262d2;RETURN;2024-08-20T22:38:40;2024-08-20T14:13:25;fatally zampone sneeze;nightgown;2024-08-20T20:08:44;which hence;2024-08-20T12:44:25;3;43d84708-5cfa-482e-b018-005c3d45f6cd;acaaba8a-34c4-43c1-be47-8636ee46d57e
52ccb239-d23f-48f0-8042-c1a71015cc0f;OTHER;2024-08-20T11:17:53;2024-08-21T04:01:16;via trick selfishly;aside;2024-08-20T15:41:21;evangelize scout immediately;2024-08-20T12:49:13;4;72296b2a-bb2e-4486-b68e-f52e2aa0eb3a;bfac676b-ce58-455f-b071-e2bd935b38f8
703b09f1-8315-4e4e-8827-014f7e9cd581;OUTBOUND;2024-08-21T02:54:08;2024-08-20T16:18:03;unless at er;code yet frightfully;2024-08-21T08:12:38;up;2024-08-21T00:15:04;5;2fd13675-1c23-46a9-8fed-0f8dc2a779d9;92af825f-dd51-49a5-91ee-d2d628b2a6d2
efddf687-e750-4fbb-a04a-f969a06fb9ea;OUTBOUND;2024-08-20T13:16:23;2024-08-20T20:19:04;superficial sorrow finally;who bah;2024-08-21T05:43:10;or reoccur;2024-08-20T09:54:45;6;482a63a5-6f83-4dba-9440-5ba398d8b307;0d860fe0-5885-4c8a-9c96-4ef34364fa72
0b053c6d-c15d-4ea3-98f5-2f674592ce76;EXCHANGE;2024-08-20T21:10:44;2024-08-20T11:30:55;psst reconnoitre sympathetically;underestimate midst;2024-08-20T13:35:00;finally;2024-08-20T23:06:47;7;e876f977-9631-40d2-9188-5abc2aabac3f;b720d9fc-22ac-4999-9173-5b7bb83b99bd
9f9fd639-7e1b-44f4-8aa6-4b04e4512e67;RETURN;2024-08-20T20:40:06;2024-08-20T12:13:36;classification pish;past questionably er;2024-08-20T15:23:24;yowza bah;2024-08-21T08:10:11;8;f6c07cd3-876b-4121-a25d-ff321b252a21;af714433-75ef-4a20-b906-e1ca703933b9
5a9210c4-0f9e-4107-83fb-bf74323faa4d;TRANSFER;2024-08-20T15:10:56;2024-08-20T13:25:31;wonderfully;champion frail;2024-08-20T10:03:40;pro;2024-08-21T05:40:31;9;3aa2b3a4-daea-43d4-a69e-091647527b40;3bce956c-4f3c-4b4c-85a8-18546556f75d
91e283aa-c7fa-4aea-9fb4-848887d05886;OUTBOUND;2024-08-20T18:42:52;2024-08-20T13:24:17;loftily unless;though an including;2024-08-20T21:06:50;destabilize pace;2024-08-21T04:38:40;10;5a99072d-dab2-4a21-a623-3a02d32a34d1;82932961-1cd7-4e88-b07f-2f88ef243ca0
